grid_id,n,avg_total_time,avg_travel_time,avg_total_distance,avg_travel_distance
1kmN3373E4312,"7",32.4571428571429,19.8333333333333,9289.42857142857,9817.66666666667
1kmN3373E4313,"7",74.4619047619048,21.5,16364.1428571429,15238
1kmN3373E4314,"4",49.0458333333333,21.25,9515.75,7948
1kmN3373E4315,"3",47.8388888888889,29.5833333333333,13755,12704
1kmN3373E4316,"6",57.0638888888889,27.1666666666667,11503,9794.83333333333
1kmN3373E4317,"14",42.3761904761905,17.5714285714286,9470.71428571429,8077.71428571429
1kmN3373E4318,"7",38.4,12.4285714285714,8324.14285714286,6842.28571428571
1kmN3373E4319,"9",51.4925925925926,22.8888888888889,13490.4444444444,11847.1111111111
1kmN3373E4320,"6",44.4583333333333,16.9166666666667,9961.83333333333,8365.83333333333
1kmN3373E4321,"5",68.7666666666667,28.93,17108.6,14856.8
1kmN3373E4322,"5",41.5,28.6,7060,6431.2
1kmN3373E4323,"2",49.4583333333333,34.0833333333333,13901.5,13120.5
1kmN3373E4324,"5",61.0766666666667,41.8333333333333,17926.2,16926.2
1kmN3373E4325,"2",50.2916666666667,31.125,15607,14491
1kmN3373E4332,"2",40.2083333333333,5,3491,1428.5
1kmN3373E4336,"1",31.7,23,9248,8910
1kmN3373E4337,"2",50.475,17,7417.5,5621
1kmN3373E4338,"1",88.2833333333333,48,29355,27211
1kmN3374E4311,"17",54.1058823529412,23.0588235294118,14083.5882352941,12328
1kmN3374E4312,"21",54.552380952381,19.0253968253968,12353.5238095238,10353.9523809524
1kmN3374E4313,"29",57.5390804597701,20.9287356321839,12625.7931034483,10509.7586206897
1kmN3374E4314,"4",41.1958333333333,21.5,8083.5,6938.25
1kmN3374E4316,"3",63.6611111111111,42.6888888888889,17292.3333333333,16144
1kmN3374E4320,"3",49.1166666666667,28.8555555555556,15759.3333333333,14585.3333333333
1kmN3374E4321,"7",63.4523809523809,29.7119047619048,11554.2857142857,9630.28571428571
1kmN3374E4322,"7",49.8571428571429,20.0785714285714,9460.57142857143,7751
1kmN3374E4323,"4",72.4958333333333,41.9791666666667,19393.25,17818.75
1kmN3374E4324,"6",56.8805555555556,39.9083333333333,19337.1666666667,18615.6666666667
1kmN3374E4329,"1",34.7666666666667,21,9329,8889
1kmN3374E4331,"2",44.8833333333333,16.5,6791.5,5121.5
1kmN3374E4332,"29",53.3586206896552,29.2798850574713,15626.9310344828,14266.3103448276
1kmN3374E4333,"18",40.762037037037,16.5555555555556,9006.27777777778,7637
1kmN3374E4334,"11",44.480303030303,22.4030303030303,9891.27272727273,8710
1kmN3374E4335,"6",52.4888888888889,25.5,12333.6666666667,10956.6666666667
1kmN3374E4336,"10",40.44,27.5066666666667,10273.9,9622
1kmN3374E4337,"2",50.55,30.2666666666667,14818,13850.5
1kmN3374E4338,"1",48.1166666666667,35,8923,8291
1kmN3375E4312,"3",45.5555555555556,10,7679.33333333333,5639.66666666667
1kmN3375E4313,"2",57.0166666666667,28,11334,9753.5
1kmN3375E4316,"2",64.5166666666667,39.5,23871.5,22520
1kmN3375E4317,"1",27.4333333333333,16,8187,7510
1kmN3375E4320,"8",55.9395833333333,29.8833333333333,14014,12572.375
1kmN3375E4321,"20",51.7083333333333,23.4441666666667,12714.25,11129.15
1kmN3375E4322,"8",40.1520833333333,22.2770833333333,9754.25,8769.375
1kmN3375E4324,"2",37.0166666666667,21,8590,7667.5
1kmN3375E4327,"3",58.5111111111111,21.3333333333333,12571.6666666667,10497
1kmN3375E4332,"20",36.3233333333333,17.4008333333333,9020.15,7940.35
1kmN3375E4333,"20",37.2,16.2266666666667,8334.7,7140.7
1kmN3375E4334,"14",30.7357142857143,13.8871794871795,5564.21428571429,4887.46153846154
1kmN3375E4335,"24",44.6756944444444,20.7305555555556,10489.5,9128.20833333333
1kmN3375E4336,"20",39.8425,22.8266666666667,8677.5,7761.05
1kmN3376E4313,"1",69.3666666666667,54.9166666666667,17209,16592
1kmN3376E4314,"3",56.3277777777778,40.7333333333333,13123,12210.3333333333
1kmN3376E4315,"1",36.3333333333333,13,7693,6337
1kmN3376E4319,"2",59.8333333333333,32.5333333333333,12957,11581.5
1kmN3376E4320,"28",49.3196428571429,24.4160714285714,11891.6071428571,10530.5357142857
1kmN3376E4321,"16",34.43125,17.2197916666667,8779.75,7846.5625
1kmN3376E4322,"19",46.8912280701754,20.8429824561404,10823.3684210526,9369.52631578947
1kmN3376E4323,"8",55.65,20.8145833333333,11293.875,9336.625
1kmN3376E4325,"1",72.95,34.7833333333333,19542,17323
1kmN3376E4326,"4",66.8916666666667,40.7791666666667,14096.75,12663.25
1kmN3376E4327,"1",62.5166666666667,37,11869,10518
1kmN3376E4328,"2",51.0416666666667,24,9791.5,8313
1kmN3376E4329,"6",45.0194444444444,16.9222222222222,11989.6666666667,10355.8333333333
1kmN3376E4330,"1",31.9333333333333,16.5333333333333,8382,7499
1kmN3376E4332,"14",48.4178571428571,21.2797619047619,12970.2142857143,11406.9285714286
1kmN3376E4333,"18",38.0268518518519,14.4518518518519,7513.5,6151.27777777778
1kmN3376E4334,"35",41.27,19.2588235294118,10236.6571428571,9197.58823529412
1kmN3376E4335,"20",44.1925,16.2508333333333,8147.25,6533.45
1kmN3376E4336,"2",63.75,25,10016,7805
1kmN3377E4311,"4",65.3416666666667,36.4666666666667,20537,18933
1kmN3377E4312,"3",73.1777777777778,44.6,27510.3333333333,25919
1kmN3377E4313,"1",70.4666666666667,37,16268,14502
1kmN3377E4320,"44",48.1113636363636,24.2934108527132,11781.75,10669.4186046512
1kmN3377E4321,"8",46.775,17.5229166666667,10671.125,9008.625
1kmN3377E4322,"15",51.1866666666667,29.0233333333333,12544.6666666667,11372.4
1kmN3377E4323,"4",48.5375,25.1291666666667,11763.25,10575
1kmN3377E4324,"2",70.5833333333333,41.5,15239.5,13521
1kmN3377E4325,"3",66.4666666666667,41.5,14940.3333333333,13547.3333333333
